question	answers
活躍した選手に対しては橋戸賞や久慈賞が贈られる、社会人野球の大会は何でしょう?	都市対抗野球大会
7〜10年を1周期とする景気の循環を、発見者であるフランスの経済学者の名前をとって何の波というでしょう?	ジュグラーの波
「若い女性」という意味がある、アルプス三山のひとつに数えられる山は何でしょう?	ユングフラウ
エクトル・マロの小説『家なき子』の、主人公の少年の名前は何でしょう?	レミ
高級な靴のブランド、フェラガモはどこの国のブランドでしょう?	イタリア
品質表示マークで、STマークはおもちゃにつけられますが、TSマークは何につけられるでしょう?	自転車
江戸時代の商人の使用人で、丁稚と番頭の間の身分にあった者を何というでしょう?	手代
雪のクリスマスを「ホワイト・クリスマス」というのに対して、雪のないクリスマスを英語で何というでしょう?	グリーン・クリスマス
2種類以上の液体の混合物を蒸留し、沸点の違いを利用して分離する方法を何というでしょう?	分留
日本の空港のスリーレターコードで、成田国際空港はNRTですが、関西国際空港は何でしょう?	KIX
神宮司治、前田啓介、藤巻亮太の3人からなる、『蒼の世界』『粉雪』などのヒット曲があるバンドは何でしょう?	レミオロメン
日本の国会で衆議院が解散になった場合、何日以内に総選挙を行わなければならないでしょう?	40日以内
2時間ドラマでもおなじみの名探偵・浅見光彦の生みの親である推理作家は誰でしょう?	内田康夫
グッゲンハイム美術館やメトロポリタン美術館がある、アメリカの都市はどこでしょう?	ニューヨーク
かつてのオリンピックでは正式種目として行われていた、英語で「タッグ・オブ・ウォー」というスポーツは何でしょう?	綱引き
拾ったりした金品をこっそり自分のものにしてしまうことを、ある動物の習性にちなんで何というでしょう?	ネコババ
北海道には春夏秋冬、すべての季節に美味しいものがありますが、「秋味」という別名を持つ魚といえば何でしょう?	鮭
数学で、数列の和を表わす際に使用されるギリシャ文字といえば何でしょう?	Σ
1923年に南ドイツのある都市で起こった暴動で、これによりヒトラーが逮捕されたことで有名なのは何一揆でしょう?	ミュンヘン一揆
天文単位、アフリカ連合、金、携帯電話のブランドに共通するアルファベット2文字は何でしょう?	AU
時代劇『銭形平次』の原作者は野村胡堂ですが、『半七捕物帳』の原作者は誰でしょう?	岡本綺堂
ロゴマーク、などというときの「ロゴ」は何という言葉の略でしょう?	ロゴタイプ
中央競馬の競馬場で左回りコースなのは、東京競馬場、中京競馬場とどこでしょう?	新潟競馬場
ASEANに加盟する東南アジアの国の中でただ一つ、海に面していないのはどこでしょう?	ラオス
新しい電話の形態であるIP電話のIPとは何という英語の略でしょう?	Internet Protocol
1930年代に「ニューヨーク・タイムズ」が始めた、新聞を学校教育の教材として利用する運動をアルファベット3文字で何というでしょう?	NIE
映画『SPIRIT』で、主演のジェット・リーと共演する、女優・竹内結子の夫である俳優は誰でしょう?	中村獅童
桃の生産量が日本一である都道府県はどこでしょう?	山梨県
正式には「科学と国際社会の諸問題に関する会議」という国際会議を、1957年に第1回が開かれた地を取って一般に何会議というでしょう?	パグウォッシュ会議
ドランクドラゴンやアンジャッシュ、アンタッチャブルといった人気お笑いコンビが所属している芸能プロダクションはどこでしょう?	プロダクション人力舎
ドイツ語で「小さな夜の音楽」という意味がある、モーツァルトのセレナーデ13番は何でしょう?	アイネ・クライネ・ナハトムジーク
ゴルフや野球で、ボールを打つときの足の開き具合を英語で何というでしょう?	スタンス
アジサイを漢字で書いたときに、使われる色は何でしょう?	紫
ごはんの上にハンバーグや目玉焼きなどを乗せ、グレービーソースをかけて食べる、ハワイの名物料理は何でしょう?	ロコモコ
ウィンドウズXPに変わる新しいOSとして、マイクロソフトが今年発売する予定の新OSはウィンドウズ何でしょう?	ビスタ
人類初の動力飛行に成功したライト兄弟の、兄の名前はウィルバーですが、弟の名前は何だったでしょう?	オービル
アラスカ州の州の花にもなっている、英語では「forget me not」という花は何でしょう?	ワスレナグサ
フリーアナウンサーの久保純子、読売ジャイアンツの高橋由伸、タレントのふかわりょうといえば、出身大学はどこでしょう?	慶應義塾大学
巡業や花相撲の余興に演じられる、相撲の決まり手や禁じ手などを滑稽に演じた取り組みを何というでしょう?	初っ切り
フランス語で「メーキャップ」という意味がある、ピエヌとプラウディアを統合して昨年8月21日に誕生した、資生堂のブランドは何でしょう?	マキアージュ
『赤い河』や『駅馬車』などの映画に主演し、「デューク」の愛称で親しまれた俳優は誰でしょう?	ジョン・ウェイン
日本人の約半数が感染しているといわれ、胃潰瘍や十二指腸潰瘍の原因とされる、胃の中に生息する細菌といえば何でしょう?	ヘリコバクター・ピロリ菌
昭和30年の保守合同により誕生した「自由民主党」の、初代総裁に就いたのは誰でしょう?	鳩山一郎
ゼノンの有名なパラドックスの一つで、アキレスがいつまでも追いつくことができないと言われている動物は何でしょう?	亀
昨年のプロ野球のMVPは、セリーグではタイガースの金本知憲ですが、パリーグはホークスの誰でしょう?	杉内俊哉
「ここに地終わり、海始まる」と書かれた石碑が立っている、ユーラシア大陸最西端の岬の名前は何でしょう?	ロカ岬
『鉄腕アトム』に登場するエピソード『地上最大のロボット』をリメイクした、浦沢直樹のマンガのタイトルは何でしょう?	PLUTO
人身事故を起こして逃走するのは「ひき逃げ」ですが、同じように物損事故で逃げることを何というでしょう?	当て逃げ
中世ヨーロッパの都市で行われた、商人や手工業者による特権的な同業者組合を何というでしょう?	ギルド
ナイロンでできた細い糸をより合わせて作る、歯と歯の間の汚れを落とすための糸のことを何というでしょう?	フロス
チョウセンアサガオはナス科の植物ですが、チョウセンニンジンは何科の植物でしょう?	ウコギ科
ポケットビリヤードの台に、ポケットはいくつ空けられているでしょう?	6つ
「澄みきった目と白い歯」という意味で、美人の形容として使われる四字熟語は何でしょう?	明眸皓歯
アメリカのクロスワードで、横のカギのことを「ACROSS」というのに対して、縦のカギのことを何というでしょう?	DOWN
童謡『アマリリス』で、やさしい音色のオルゴールはどこの国のおみやげと歌われているでしょう?	フランス
喜劇王チャップリンにとって初のオールトーキー映画である、ナチスドイツを痛烈に批判した1940年公開の映画は何でしょう?	独裁者
『ポートピア連続殺人事件』『いただきストリート』『ドラゴンクエスト』などの作品で知られる、ゲームクリエーターは誰でしょう?	堀井雄二
1950年3月19日にこの世を去ったアメリカのSF作家で、ターザンの生みの親としても知られる人物は誰でしょう?	エドガー・ライス・バローズ
映画の撮影をするために、屋外に本物そっくりの街や建物をつくったものを英語で何というでしょう?	オープンセット
音楽の楽譜で、付点音符は元の音符の何倍の長さになるでしょう?	1.5倍
奈良時代から戦国時代にかけて存在した、貴族やお寺などが所有していた私有地のことを何というでしょう?	荘園
森鴎外の名作『舞姫』で、主人公の太田豊太郎が愛したドイツ人の踊り子の名前は何でしょう?	エリス
毎年5月に開催される、プロの自転車選手によるイタリア周回ロードレースを何というでしょう?	ジロ・デ・イタリア
料理に用いる「まな板」の「まな」とは、元々は何のことでしょう?	魚
オタマジャクシのしっぽが自然と消えるなど、成長の段階で役目を終えた細胞が自殺する現象のことを、ネクローシスに対して何というでしょう?	アポトーシス
当たれば死ぬという洒落から、関西では「鉄砲」とも呼ばれる魚は何でしょう?	フグ
カントの三大批判書といったら、『純粋理性批判』『実践理性批判』と何でしょう?	判断力批判
テレビではアダム・ウェストが、映画では最新作のクリスチャン・ベールを含めこれまでに4人が演じている、アメリカンコミックのヒーローは誰でしょう?	バットマン
野球用語のゴロとは、どんな英語が訛ったものでしょう?	グラウンダー
外国からの武力攻撃を想定して、そのときに速やかに対処できるよう整備しておく法令を何というでしょう?	有事立法
切れ目なくタバコを吸い続ける人を、金属製品に喩えて何スモーカーというでしょう?	チェーンスモーカー
源義朝に愛され、今若、乙若、牛若の3人の子供を産んだ女性は誰でしょう?	常盤御前
化学反応において、それ自体は変化せず反応速度を速める役割をする物質を何というでしょう?	触媒
今年の2月8日に91歳で亡くなった、映画『ゴジラ』シリーズの音楽を作曲した人物は誰でしょう?	伊福部昭
サンスクリット語で「宝石」という意味がある、10月の誕生石は何でしょう?	オパール
釈迦が悟りを開いたのは菩提樹の下ですが、入滅したのは何という木の近くでしょう?	沙羅双樹
日本の郵便番号で、「001」で始まる地域があるのは北海道ですが、「999」で始まる地域があるのはどの都道府県でしょう?	山形県
原油や物資の運搬に使われるため、有事問題の際にはその防衛が議論となる、国が重要と定める海上交通路のことを英語で何というでしょう?	シーレーン
楽しい謝肉祭を背景に、主人公である人形の恋や生活を描いた、ストラヴィンスキーの三大バレエ曲の1つは何でしょう?	ペトルーシュカ
ホテルのシングルルーム、ダブルルーム、ツインルームの、それぞれにあるベッドの数を合計すると何台になるでしょう?	4台
俗に、おかしくてたまらない時に「臍で沸かす」といわれるのは何でしょう?	お茶
爪先立ちで深く腰をおろした、剣道や相撲で試合で始めと終わりにとられる姿勢は何でしょう?	蹲踞
「微生物の作用により有機物が悪臭を発する物質や有毒な物質に変化すること」を、漢字2文字で何というでしょう?	腐敗
今年の1月1日、東京三菱銀行とUFJ銀行が合併して誕生した、新しい銀行の名前は何でしょう?	三菱東京UFJ銀行
アメリカの工業を表す言葉で、北緯37度より北をスノーベルトというのに対し、南を何というでしょう?	サンベルト
天気記号で○の中に白丸は「曇り」ですが、○の中に黒丸は何でしょう?	霧
大相撲の歴代横綱の中で、その在位場所数が63場所と最も長かった力士は誰でしょう?	北の湖敏満
英語で、「モーニングシックネス」と呼ばれるのはつわりですが、「モーションシックネス」と呼ばれる症状は何でしょう?	乗り物酔い
今年、女優の鈴木杏や長澤まさみが卒業した高校はどこでしょう?	堀越高校
囲碁のタイトル戦の名前にもなっている、碁盤の真ん中にある星を特に何というでしょう?	天元
赤石山脈の最高峰である、標高3193mと富士山に次いで日本で2番目に高い山はどこでしょう?	北岳
他の色に染まることはないという意味から黒一色とされる、裁判官が裁判の時に着用する服のことを何というでしょう?	法服
台の上にある蝶という的を狙って扇を投げ、落とした的と扇との状態で得点をつける、江戸時代に生まれた遊びは何でしょう?	投扇興
オーディオ機器の「アンプ」を、略さずにいうと何というでしょう?	アンプリファイア
俗に「敷島の道」といえば和歌のことを指しますが、「筑波の道」といえば何を指す言葉でしょう?	連歌
イギリスのファーストフード「フィッシュ&チップス」といえば、白身魚のフライに何を添えた料理でしょう?	フライドポテト
1969年にエルサルバドルとホンジュラスとが戦った戦争を、きっかけとなったスポーツから何というでしょう?	サッカー戦争
料理の薬味に使う植物で、ネギはユリ科、ショウガはショウガ科ですが、ワサビは何科でしょう?	アブラナ科
金の無い人は寒く、度量の広い人は深い、とたとえられる体の部分はどこでしょう?	懐
「ドラえもん」と「キティちゃん」に生えているヒゲの数は、ともに何本でしょう?	6本
ニュージーランドで、一番人口が多い都市はどこでしょう?	オークランド
今年、第15回アジア競技大会が開催される、カタールの首都はどこでしょう?	ドーハ
アメリカの5ドル紙幣に描かれている、第16代大統領は誰でしょう?	エイブラハム・リンカーン
英語で、海にいるタコはオクトバスといいますが、空に揚げる凧は何というでしょう?	カイト
血液中の酸素量が低下したときなどに発生する、皮膚や粘膜が青紫色になる状態を何というでしょう?	チアノーゼ
実際にはその罪を犯していないのに処罰を受ける、いわゆる「無実の罪」を、漢字二文字で何というでしょう?	冤罪
パリ・モンマルトルの丘の上にかつてあったダンスホールで、ルノワールの代表作である絵の舞台にもなったのは何でしょう?	ムーラン・ド・ラ・ギャレット
ケストナーの小説『ふたりのロッテ』で、ザルツブルグの「こどもの家」で出会ったふたりの少女はロッテと誰でしょう?	ルイーゼ
デザインを小中学生から公募し、国土地理院が1月25日に発表した新しい2つの地図記号は、「風車」と何でしょう?	老人ホーム
オリンピックで行われる投てき種目の中で、その世界記録が最も長いものは何でしょう?	やり投げ
同じ半径の球と円において、球の表面積は円の面積の何倍でしょう?	4倍
旅に出ることを、かつての防人たちが詣でた茨城県東部の神社に因んで「何立ち」というでしょう?	鹿島立ち
一部のクジラやイルカに見られる、額にある超音波を出す器官のことをなんというでしょう?	メロン器官
F1グランプリで競われる2つのランキングとは、ドライバーズランキングと何でしょう?	コンストラクターズランキング
飲み物の「コーヒー」を漢字で書いたとき、2文字の漢字に共通する部首は何でしょう?	王偏
イスラエルの国旗の中央に描かれている、正三角形を2つ合わせた図形を、古代イスラエルの王の名をとって何というでしょう?	ダビデの星
医者のチャック、詩人のトック、哲学者のマッグ、作曲家のクラバックが登場する、芥川龍之介の小説は何でしょう?	河童
地上に降り積もった雪が、強風により巻き上げられることを何というでしょう?	地吹雪
宝塚歌劇団で、5つある組に所属せず、どの組にも出演できる人たちを何というでしょう?	専科
民謡『会津磐梯山』の中で、「朝寝、朝酒、朝湯が大好きで、それで身上つぶした」と歌われている人物は誰でしょう?	小原庄助
後一条、後朱雀、後冷泉の3代の天皇に渡って関白を務め、平等院鳳凰堂を建立した、藤原道長の息子は誰でしょう?	藤原頼通
平仮名の「い」の文字を10個丸く並べたデザインの市章を持つ、静岡県の伊豆半島東側にある都市はどこでしょう?	伊東市
『フランダースの犬』の主人公と、「暴君」と呼ばれたローマ帝国の第5代皇帝に共通する名前は何でしょう?	ネロ
1993年に48歳の若さで亡くなった、『クイズ世界はSHOW by ショーバイ!!』や『平成教育委員会』等の司会で人気を博したアナウンサーは誰でしょう?	逸見政孝
バイオリンなどの弦楽器を、弓を使わずに指で弦を弾く演奏法を何というでしょう?	ピチカート
台の上のゴールマンにボールを投げ渡すと得点になる、バスケットボールへの導入ゲームとして行われている球技は何でしょう?	ポートボール
讃岐うどんの食べ方の一つで、釜あげうどんに生卵をからめて食べることを何というでしょう?	かまたま
ノビレチンという成分にガン抑制の効果が期待されている、和名を「ヒラミレモン」という沖縄原産の柑橘類は何でしょう?	シークヮーサー
芥川賞受賞作『海峡の光』などの作品で知られる、女優・中山美穂の夫である作家は誰でしょう?	辻仁成
諺で、「長いものには巻かれろ」といいますが、「太いものには...」どうされろ、というでしょう?	飲まれろ
「ちょい不良オヤジ」という言葉を広めた、「主婦と生活社」が発行している男性向けファッション雑誌は何でしょう?	LEON
野球で、バントの体勢からヒッティングに切り替えることを何というでしょう?	バスター
一部営業譲渡や資本提携なども含む場合がある、企業の合併や買収のことをさす英語といえば何でしょう?	M&A
アマゾン川の河口がある海は大西洋ですが、ナイル川の河口がある海はどこでしょう?	地中海
エタノールが酸化するとアセトアルデヒドになりますが、アセトアルデヒドが酸化すると何になるでしょう?	酢酸
木材の「木目」で、まっすぐな「正目」に対して、山形や波形をしたものを何というでしょう?	板目
昭和38年、若松・八幡・戸畑・小倉・門司の5つの市が合併してできたのは何市でしょう?	北九州市
コブクロ、ケツメイシ、河口恭吾、森山直太朗のヒット曲から連想される花は何でしょう?	サクラ
日本の内閣に相当する、中華人民共和国の行政機関は何でしょう?	国務院
昨年10月に開館した九州国立博物館があるのは、福岡県の何市でしょう?	太宰府市
数列で、同じ数ずつ足していく数列を等差数列というのに対して、同じ数ずつ掛けていく数列を何というでしょう?	等比数列
ぬか漬けを作る際に用いる、ぬかに塩・水などを加えたものを何というでしょう?	糠床
オリンピックで、日本人選手が初めてメダルを取った競技は何でしょう?	テニス
物を荒々しく掴む事を、ある鳥に喩えて「何掴み」というでしょう?	鷲掴み
中央競馬で今年から新設される、古馬牝馬限定のG1競走は何でしょう?	ヴィクトリアマイル
英語ではearth crustという、地球の地表からモホロビチッチ不連続面までの層の部分を何というでしょう?	地殻
会社を設立した2人の名前から社名をとった、「hp」というロゴで知られるパソコンメーカーはどこでしょう?	ヒューレット・パッカード
東南アジアにあるカリマンタン島を領有する3カ国とは、マレーシア、インドネシアとどこでしょう?	ブルネイ・ダルサラーム国
ラテン語で「いつでも、どこでも」という意味がる、あらゆる場面でもコンピューターにつながっているという状態を表す言葉は何でしょう?	ユビキタス
四世市川団十郎に将棋の駒の衣装を贈られたことから名づけられた、歌舞伎役者・中村歌右衛門の屋号は何でしょう?	成駒屋
大航海時代に活躍した探険家で、コロンブスが生まれたのはイタリアですが、マゼランが生まれた国はどこでしょう?	ポルトガル
図書や資料整理のためにつくられた国際標準図書番号を、アルファベット4文字で表すと何でしょう?	ISBN
藤森慎吾と中田敦彦からなる、歌とリズムを活かしたコント「武勇伝」が人気のお笑いコンビは何でしょう?	オリエンタルラジオ
アメリカ東部にある音楽院で、バークリー音楽院があるのはボストンですが、ジュリアード音楽院がある都市はどこでしょう?	ニューヨーク
ジュネーブに本部を置く、国際労働機関をアルファベット3文字で何というでしょう?	ILO
湯もみで有名な、草津温泉がある都道府県はどこでしょう?	群馬県
1847年にアフリカ最初の共和国として独立した、首都をモンロビアに置く西アフリカの国はどこでしょう?	リベリア
「蜂の巣」を意味する名前のとおり、正六角形を組み合わせた形状によって高強度と軽量性を併せ持たせている構造を何というでしょう?	ハニカム構造
日本語では「さゆ」、中国語では「パイタン」と発音する時、漢字では何色のお湯と書くでしょう?	白
ゴルフで、アイアンショットなどによって削られた芝生を何というでしょう?	ディボット
「幽霊の 正体見たり枯れ尾花」といいますが、この尾花とはどんな植物のことでしょう?	ススキ
木星の衛星の中でも「ガリレオ衛星」と呼ばれている4つの衛星とは、イオ、エウロパ、ガニメデと何でしょう?	カリスト
アメリカ五十州のうち名前がアルファベットのAで始まる州はアラバマ、アラスカ、アリゾナともう一つは何でしょう?	アーカンソー州
マフラーやショールの両端などに用いられる、紐や毛糸を束ねて付けた房飾りのことを何というでしょう?	フリンジ
横綱・大関、特に優勝者に土を付けた時の取り組み内容によって与えられる、大相撲の三賞の一つは何でしょう?	殊勲賞
東京大学本郷キャンパスにある大講堂は、建設に尽力した実業家にちなんで何講堂と呼ばれているでしょう?	安田講堂
1999年に『初恋のきた道』で銀幕デビューを果たし、『HERO』や『SAYURI』などの映画で人気の中国人女優は誰でしょう?	チャン・ツィイー
「噛む事が出来る」という意味がある、口に含んで噛みながら溶かして服用する錠剤を何というでしょう?	チュアブル
室町時代に起こった応仁の乱で、東軍を率いたのは細川勝元ですが、西軍を率いたのは誰でしょう?	山名宗全持豊
今日大統領選挙が開催される、首都をミンスクに置くヨーロッパの国はどこでしょう?	ベラルーシ共和国
『ダブリン市民』『ユリシーズ』『フィネガンズ・ウェイク』などの作品を残した、アイルランドの小説家は誰でしょう?	ジェームズ・ジョイス
昭和36年に、日本プロ野球の年間最多勝42勝を記録した西鉄ライオンズのピッチャーは誰でしょう?	稲尾和久
漫画界に「劇画」という分野を確立した、『サバイバル』『ゴルゴ13』などの作品で知られる漫画家は誰でしょう?	さいとう・たかを
戦後の歴代東京都知事をあいうえお順で並べた時、最初に来るのは誰でしょう?	青島幸男
一般に座布団が一組といえば、何枚の事をさすでしょう?	5枚
しらみつぶしに事に当たる様を、工事に使う道具に因んで何作戦というでしょう?	ローラー作戦
元素記号をアルファベット順に並べたとき、最初に来るのはアクチニウムですが2番目に来るのは何でしょう?	銀
孔子が『易経』をとじひもが三回切れるほど繰り返し読んだという故事に由来する、本を熟読することを指す四字熟語は何でしょう?	韋編三絶
伊勢湾に浮かぶ歌島を舞台に初江と新治の恋を描いた、三島由紀夫の小説は何でしょう?	潮騒
昔の時刻のいい方で、昼間の12時は「午の刻」ですが、夜中の12時は「何の刻」といったでしょう?	子の刻
本場のフランスでは「エスクリム」と呼ばれる、エペ、フルーレ、サーブルの3種目があるスポーツは何でしょう?	フェンシング
日本のホラー映画で、貞子が登場するのは『リング』ですが、伽椰子が登場するのは何でしょう?	呪怨
カードゲーム「UNO」で使われるカードの、1セットの枚数は何枚でしょう?	108枚
童謡『かわいい魚やさん』で、かわいい魚やさんが売っているものは、大だい、小だい、タコと何でしょう?	サバ
花札に描かれている、唯一の昆虫は何でしょう?	蝶
スペインのカタロニア地方の守護聖人の名前がついた、女性が男性に本を贈る毎年4月23日の記念日のことを何というでしょう?	サン・ジョルディの日
3月22日にシングル『リアル・フェイス』でCDデビューする、亀梨和也ら6人のメンバーの苗字の頭文字から命名されたグループは何でしょう?	KAT-TUN
羽黒山・湯殿山・月山という、山形県にある3つの山を総称して「何三山」というでしょう?	出羽三山
ピアノの種類で、弦を水平に張ったものを「グランドピアノ」というのに対して、小さく収まるように弦を垂直に張ったものを何というでしょう?	アップライトピアノ
野坂昭如の『火垂るの墓』、妹尾河童の『少年H』、谷崎潤一郎の『細雪』といった小説の舞台となった県は何県でしょう?	兵庫県
大相撲で、力士の勝ち負けを表す表を何というでしょう?	星取表
アカ、ムラサキ、バフンなどの種類がある、海の生き物は何でしょう?	海胆・海栗
「銀色」という意味のフランス語に由来する、カタクチイワシの塩漬けといえば何でしょう?	アンチョビ
フランス語で「砂のような」という意味の、崩れやすいバタークッキーの一種は何でしょう?	サブレー
ヨーロッパアルプスの最高峰モンブランは、フランスとどこの国の境にあるでしょう?	イタリア
国家が予算や財政赤字を補てんするために、信用をもって設定する金銭上の債務の事を何というでしょう?	国債
最初はテーラー経営のかたわら執筆していた漫画家で、ドラマ化もされたヒット作『ドラゴン桜』で知られるのは誰でしょう?	三田紀房
アメリカの作家バーネットの作品で、『小公子』の主人公はセドリックですが、『小公女』の主人公は誰でしょう?	セーラ
現在の日本の硬貨で唯一、算用数字が書かれていないのは何円玉でしょう?	五円玉
1824年に、シーボルトが長崎に開いた医学塾を何というでしょう?	鳴滝塾
自然界に最も多く存在する有機化合物で繊維素とも呼ばれる、植物の細胞壁の主成分は何でしょう?	セルロース
バルセロナの「サグラダ・ファミリア」などを設計した、スペインの有名な建築家は誰でしょう?	アントニオ・ガウディ
相手と対等な力を持つことを、体の一部を使って何を並べるというでしょう?	肩
その「クリエイティブサッカー」は大きな話題を呼んだ、第84回全国高校サッカーで優勝した滋賀県の高校はどこでしょう?	野洲高校
英雄伝説を題材とした正統派オペラを「オペラ・セリア」といいますが、庶民の生活を題材とした喜劇的なオペラのことを何というでしょう?	オペラ・ブッファ
日本国憲法第68条第2項に書かれている、内閣総理大臣が任意にほかの国務大臣をやめさせることが出来る権利のことを何というでしょう?	罷免権
物事が思いどおりに進んでいることを、帆船が快調に進む様子にたとえて何というでしょう?	順風満帆
複数の外食店がひとつのフロアに集まり、各店共通の客席を設けた飲食スペースのことを何というでしょう?	フードコート
テニスのラケットに張るのはガットですが、卓球のラケットに張るゴムを何というでしょう?	ラバー
一年のうちで、太陽と地球が最も近づくのは何月でしょう?	1月
その大部分はタジキスタン共和国に含まれる中央アジアの高原で、「世界の屋根」の別名で知られるものは何でしょう?	パミール高原
シンクロナイズドスイミングでは髪の毛を固めるのにも使われる、動物の皮や骨に含まれる蛋白質の一種は何でしょう?	ゼラチン
伊達氏の「塵芥集」や武田氏の「甲州法度之次第」が有名な、戦国大名の領国支配のための法律を何というでしょう?	分国法
人間の間脳の下にぶら下がり、成長ホルモンを分泌するソラマメ大の器官といえば何でしょう?	脳下垂体
入口に掲げられる看板に朱色の文字が使われたところからその名がついた、落語や講談以外の寄席演芸を総称して何というでしょう?	色物
伝統芸能の能楽や狂言において、主役をつとめる人物を特に何というでしょう?	シテ
法律用語で、不正な侵害を受けたときにこれを避けようとして反撃する行為のことを何というでしょう?	正当防衛
「低出生体重児」とは、出生時の体重が何グラム以下の新生児のことをいうでしょう?	2500グラム
オーケストラの指揮者や作曲家に対する敬称として使われる、イタリア語で「巨匠」を意味する言葉は何でしょう?	マエストロ
少女ベアトリーチェへの愛を綴った『新生』、作者自身が天国・地獄・煉獄を旅する『神曲』で知られるイタリアの詩人は誰でしょう?	ダンテ
「濃尾平野」の名前の由来となった二つの国とは、美濃とどこでしょう?	尾張
現在までに、Jリーグで最も多くのゴールを決めている選手は誰でしょう?	中山雅史
日本語では「細い氷」と書く、晴れた空からごく小さな氷の結晶が降る現象は何でしょう?	ダイアモンドダスト
筑波、石鎚、国見などの品種がある木の実は何でしょう?	栗
組織の内部にいながら仇をなす人を、漢字四文字で「何の虫」というでしょう?	獅子身中の虫
アラン・グリーンスパン議長の後任として、FRB・連邦準備制度理事会の第14代目の議長になったのは誰でしょう?	ベン・バーナンキ
国連加盟国の中で、国旗に描かれている星の数が最も多いのはアメリカ合衆国ですが、2番目に多いのはどこでしょう?	ブラジル
体操競技の中で、男女に共通する種目は、床と何でしょう?	跳馬
ギリシャ神話に登場するポセイドンの息子の名前がつけられた、海王星最大の衛星は何でしょう?	トリトン
昔話『わらしべ長者』で、男が最初にアブのついたわらと交換した果物は何だったでしょう?	ミカン
女性のお肌の大敵で、ステインといえばしみのことですが、リンクルといえば何のことでしょう?	しわ
放送批評懇談会というNPOによって運営されている、日本の優れたテレビやラジオの番組に贈られる賞は何でしょう?	ギャラクシー賞
化学名をアセチルサリチル酸という、解熱剤や鎮痛剤として用いられる物質は何でしょう?	アスピリン
マックス・ウェーバーが分類した3つの支配の類型概念とは、伝統的支配、合法的支配と何でしょう?	カリスマ的支配
ブダペストに首都を置く国はハンガリーですが、ブカレストに首都を置く国はどこでしょう?	ルーマニア
今年の「第78回選抜高校野球大会」に出場する、日本最南端の高校はどこでしょう?	八重山商工高校
シェイクスピアの『真夏の夜の夢』の、舞台となっている季節はいつでしょう?	春
どんな元素とも化合しないことから、「怠け者」という意味の名がつけられた、原子番号18番の物質は何でしょう?	アルゴン
1911年にアメリカの考古学者ビンガムが発見した、ペルー南部のアンデス山地にあるインカ帝国の都市遺跡は何でしょう?	マチュピチュ
植物を屋外の畑や花壇で栽培することを、温室栽培に対して何栽培というでしょう?	露地栽培
権力者や指揮官の力を疑い、その地位を覆そうとする事を「何の軽重を問う」というでしょう?	鼎
イギリスでは60年目、アメリカでは75年目を祝う結婚記念日といえば何婚式でしょう?	ダイヤモンド婚式
かつての日本の華族制度において、伯爵と男爵の間にある階級は何だったでしょう?	子爵
ボクシングにおいて後頭部を殴る反則のことを、ある動物にちなんで「何パンチ」というでしょう?	ラビットパンチ
宮沢賢治の小説『注文の多い料理店』で、二人の紳士が入った西洋料理店の名前は何しょう?	山猫軒
イギリス人のジェイムス・プライヤーが発見し、日本では実際に採集した人の名にちなんで呼ばれる沖縄県の県の鳥は何でしょう?	ノグチゲラ
『三国志』に登場する馬謖の兄で、「白眉」という言葉のもとになっているのは誰でしょう?	馬良
日本でもよく歌われる『アニー・ローリー』、『故郷の空』、『蛍の光』は元々、どこの民謡でしょう?	スコットランド
本のページが抜けていることを落丁といいますが、本のページの順序が違ってとじられているのを何というでしょう?	乱丁
昭和26年の3月に公開された、高峰秀子が主演を務めた、日本初の総天然色映画は何でしょう?	カルメン故郷に帰る
気象庁の海洋気象台が置かれている4つの都市とは、函館、神戸、長崎とどこでしょう?	舞鶴
日本で、自動車の普通運転免許が取れるのは18歳からですが、原動機付自転車の免許が取れるのは何歳からでしょう?	16歳
昭和40年代の芸能界で「御三家」と呼ばれた3人の歌手とは、橋幸夫、舟木一夫と誰でしょう?	西郷輝彦
1895年、下関条約に対し三国干渉を行った3つの国とは、ロシア、ドイツとどこでしょう?	フランス
ワウワウ型やカップ型などの種類がある、管楽器の音をこもらせたり、弱めたりするために使う道具は何でしょう?	ミュート
サッカーで、ファールを受けたように見せかけて倒れる反則を何というでしょう?	シミュレーション
別名を「温湿指数」という、気温と湿度から割り出される蒸し暑さの度合いを何というでしょう?	不快指数
帝都大学の工学部助教授・湯川学を探偵役とする、作家・東野圭吾の直木賞受賞作といえば何でしょう?	容疑者Xの献身
卵料理や豆腐料理を作る時に加熱しすぎて、表面や内部に細かい穴があいてしまう状態のことを「何が入る」というでしょう?	す
日本最初の創作民謡集『枯草』を刊行した、『十五夜お月さん』の作詞で知られる詩人は誰でしょう?	野口雨情
ことわざで、理論や方法に詳しいだけでは実戦には役立たないことをたとえて「畳の上の何」というでしょう?	水練
本名をチャールズ・ラトウィッジ・ドジソンという、『不思議の国のアリス』などの童話で知られるイギリスの作家は誰でしょう?	ルイス・キャロル
証券取引所における、その日の最初の取引のことを何というでしょう?	寄り付き
ファッションデザイナーで、ヒロコ、ジュンコ、ミチコの三姉妹の名字は何でしょう?	コシノ
夏の全国高校野球選手権大会の予選において、7年連続で最も参加校が多い地区となっているのはどこでしょう?	神奈川県
島原の乱や慶安の変を鎮圧し「知恵伊豆」と呼ばれた、江戸時代の政治家は誰でしょう?	松平信綱
